date,revenue,google_search_l,paid_facebook_l,paid_instagram_l,organic_search_l,google_search_s,paid_facebook_s,paid_instagram_s
2021-04-20,233073.89230047073,351,316,38,9,12888.58,21610.286590999996,3342.4334049999998
2021-04-21,285327.09487936005,304,338,34,10,12132.25,21885.765028,2960.594971
2021-04-22,232077.84397406408,266,284,33,11,12052.030000000002,22911.258358,4037.331643
2021-04-23,221696.72105180766,217,315,38,7,9197.54,24317.091829000005,4263.538171
2021-04-24,128870.57994812318,144,300,33,6,6807.2300000000005,24877.625399999997,4385.4645949999995
2021-04-25,36670.7253995321,213,316,44,8,7791.569999999999,23538.900310999998,4164.749688
2021-04-26,232585.84727845885,553,367,39,14,17238.12,23766.903524999998,4339.516465999999
2021-04-27,240377.51422640117,342,345,34,9,12063.38,23440.028213999998,3940.9017830000003
2021-04-28,309962.75044768915,334,329,38,14,13100.37,23590.818106000002,3577.701893
2021-04-29,270926.08540916047,300,316,43,11,13748.409999999998,22786.678069999998,4062.8119259999994
2021-04-30,309590.33512002346,241,285,30,12,10606.849999999999,24049.555395999996,3675.5445989999994
2021-05-01,102914.01317739027,134,265,35,4,6764.56,25390.299699000003,3368.210304
2021-05-02,15283.2,214,327,29,5,6749.1900000000005,25145.81841,2709.911594
2021-05-03,151569.01992298753,328,297,54,4,12209.09,24171.235265,4037.4847389999995
2021-05-04,302974.03943068895,316,341,42,15,12156.55,25228.468423,5216.381578999999
2021-05-05,297993.26017767633,443,448,65,14,15934.779999999997,31081.911989,6199.768018999999
2021-05-06,301199.8447339938,392,409,85,8,15030.470000000001,31457.801083,7082.478905
2021-05-07,270656.3090055848,318,371,47,10,12536.010000000002,33619.65496299999,4481.925041
2021-05-08,111074.93102140477,276,333,57,4,10481.560000000001,34143.437444,5568.042558
2021-05-09,33807.50215587803,420,338,51,6,13288.079999999994,31586.640105,6136.329895000001
2021-05-10,357905.1342376851,520,329,63,17,19554.980000000003,29210.837805000003,8399.632199
2021-05-11,251584.32858535508,450,512,123,5,17859.86,33949.41871,6227.218229
2021-05-12,328981.1034626568,371,550,82,6,17561.98,33979.876171,5093.123831999999
2021-05-13,214433.63848346795,319,395,51,9,14574.94,33062.506036,4034.5839639999995
2021-05-14,383382.78523991455,326,440,59,5,15596.909999999998,33572.980086,4300.669921000001
2021-05-15,130052.03934481004,313,524,59,7,13324.36,35674.629329999996,6072.900669999999
2021-05-16,52229.529635324,450,610,84,7,17992.1,33830.665264,7099.024735999999
2021-05-17,290751.4306336087,569,716,67,19,25188.19,35371.474409999995,6161.6855909999995
2021-05-18,298725.9816349904,599,626,81,9,25424.939999999995,34934.717456,7572.792545999999
2021-05-19,386779.3828457913,560,683,76,9,28325.18,33930.718528000005,8164.041470999999
2021-05-20,348071.3641479434,551,636,99,11,30393.619999999995,35863.386962000004,8930.283035999999
2021-05-21,387699.57258145476,393,433,86,9,21675.679999999993,37398.65114300001,7857.588856999999
2021-05-22,122166.69705119968,268,444,77,4,15845.3,39366.580572,8092.819426999999
2021-05-23,95733.58396442056,316,413,59,2,16457.669999999995,38330.67512099999,6744.424879
2021-05-24,299722.46764249355,482,386,66,9,24369.38,30792.984069,5961.095932
2021-05-25,363539.94689397956,554,332,75,11,27733.34,38895.95901200001,8738.760985
2021-05-26,356709.2522131186,547,403,81,11,27271.08999999999,37614.880075,9935.169925
2021-05-27,296700.0040198563,615,384,116,14,28434.260000000002,37114.049868999995,9176.140128999998
2021-05-28,283284.7259162049,524,352,92,4,22616.100000000002,36108.268568,8304.471431999998
2021-05-29,161140.90669305855,379,349,117,6,16830.05,37287.01835699999,9065.461642000002
2021-05-30,74675.44197539354,479,385,96,2,19955.590000000004,34430.021483000004,8705.528517
2021-05-31,449867.40468319494,673,372,102,4,28387.190000000002,34049.302501000006,9930.937502
2021-06-01,236121.3976761819,627,346,101,0,27436.389999999992,31810.691207000003,10861.718791
2021-06-02,220105.66218833084,582,362,95,6,24368.11,31217.755704999996,9124.834295999999
2021-06-03,165288.1808287721,502,414,126,8,22046.690000000002,33675.092040999996,7116.577955000002
